,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
TCGA-44-3919-01A-02D-1105-08,0.0036835317503436707,0.0036835299008374993,0.0036863160393871054,0.0036838061183834137,0.20311957733693903,0.7747766058942329,0.0036841070846205526,0.003682525875255806
TCGA-44-3919-01A-02D-1458-08,0.003212177412879103,0.003211890168495427,0.27531034959936873,0.003212235474006576,0.00321181655255991,0.7054184463626411,0.0032119132122334962,0.0032111712178157295
TCGA-55-8514-01A-11D-2393-08,0.031228480672548048,0.01825372702920698,0.00042165710455991236,0.19671504401658083,0.13342371489475385,0.00042161435348611793,0.0004216833877694705,0.6191140785410948
TCGA-55-8094-01A-11D-2238-08,0.1572641894065946,0.3170322736509139,0.0002619756463323771,0.36576101009734246,0.00026198856580194875,0.12913671274797953,0.00026197591189305354,0.030019873973142177
TCGA-05-4425-01A-01D-1753-08,0.003053417137511433,0.0030534571464142157,0.0030565004396246216,0.0030533952013154907,0.003054243257351364,0.9786186479097373,0.0030561306191664835,0.003054208288879037
TCGA-44-3918-01A-01D-A271-08,0.19277959199621583,0.41346096201175064,0.057183511625171546,0.3353986744906905,0.00012976585786161408,0.00012976133945587177,0.0007879628816497521,0.00012976979720422135
TCGA-50-5942-01A-21D-1753-08,0.002197138527025711,0.6064411438891637,0.0021968715563865137,0.002196905140214219,0.002197123142408499,0.3803770058009495,0.002196813599545323,0.0021969983443065224
TCGA-35-4123-01A-01D-1105-08,0.00041057952681886794,0.04794863219778572,0.00041054274468529006,0.4889559022460173,0.03470513393889072,0.0004106000907676337,0.06954643203094829,0.35761217722408617
TCGA-49-AAR4-01A-12D-A410-08,0.25621772681558147,0.36462214165511453,0.17956438684897266,0.153291212653597,0.04565004413881921,0.0002181503214957037,0.00021816958596332077,0.00021816798045618853
TCGA-44-8117-01A-11D-2238-08,0.2358598287651611,0.1989109968490445,0.00015404571584751685,0.3716666192931059,0.00015403325691723906,0.0001540329350540946,0.027360379816420262,0.16574006336844935
TCGA-50-5933-01A-11D-1753-08,0.08181045831990962,0.434347142304393,0.034731403490788786,0.049755677561190405,0.04865851398366986,0.05489232139819228,0.01756967492661758,0.27823480801523853
TCGA-53-A4EZ-01A-12D-A24P-08,0.20877220932806573,0.007261472189403804,0.0002264823291350286,0.3360332372320246,0.27942024695319867,0.0002264629800359888,0.0002264640308378757,0.16783342495729825
TCGA-75-5122-01A-01D-1753-08,0.0009276414325373851,0.0009276560215241015,0.000927776574718081,0.0009276677800413618,0.33693605229378604,0.25452024946269264,0.40390529075788134,0.0009276656768191636
TCGA-55-6970-01A-11D-1945-08,0.0006918964685105358,0.06351671387154245,0.07344318890600683,0.36317161166110196,0.08185744047694171,0.0006918893235663769,0.0006918195716537729,0.4159354397206763
TCGA-44-A47A-01A-21D-A24D-08,0.0005770929213051049,0.0005770459753248515,0.2710904635640246,0.00057703104402025,0.0005770916058249539,0.08404881316393883,0.3924594521032443,0.2500930096223171
TCGA-99-8032-01A-11D-2238-08,0.041821391872243374,0.1805300510617105,0.00030847861329537704,0.3156190430249657,0.004780004103354375,0.00030846581924193466,0.1415321821417118,0.3151003833634771
TCGA-NJ-A55R-01A-11D-A25L-08,0.15249059687835825,0.6477424108262825,0.0004409587970510495,0.08952438257590063,0.003073062227103177,0.10584668363711491,0.0004409574443454996,0.00044094761384408496
TCGA-44-7667-01A-31D-2063-08,0.00025820109952345974,0.14875428173338226,0.00025818004303011186,0.30378305706168834,0.2447786398367439,0.08455009606330458,0.0002582146944366076,0.21735932946789066
TCGA-44-8120-01A-11D-2238-08,0.05543892461240321,0.19049737285638302,0.00019388427997879507,0.4057649607076677,0.015395588344706996,0.0001938315616376256,0.04062530416004949,0.2918901334771732
TCGA-64-1679-01A-21D-2063-08,0.31077140313069135,0.24081367329051784,0.00023721004117913184,0.36365315070777204,0.00023717878750866895,0.00023716727699581912,0.06271644351179452,0.021333773253540803
TCGA-17-Z028-01A-01W-0746-08,0.3921839193997821,0.12696338106421354,0.08153317792955668,0.20589111024779821,0.10142109980786997,0.09149723438373976,0.00025503541152581475,0.0002550417555139389
TCGA-50-6594-01A-11D-1753-08,0.0707754617633566,0.13819570263076017,0.0619297353254435,0.4853121979179259,0.21499194706490557,0.00022850904978025384,0.00022851883256981846,0.028337927415258205
TCGA-44-A479-01A-31D-A24D-08,0.008994155309537908,0.027123260441256736,0.07197218587128386,0.7642087610987383,0.00042307592948613137,0.00042312586041100703,0.00042303628623480653,0.1264323992030513
TCGA-86-8075-01A-11D-2238-08,0.0029113930976797163,0.002911000417212781,0.0029139682021886554,0.0029108682674731405,0.0029113998049351887,0.9796183374342551,0.0029114890776914494,0.0029115436985639944
TCGA-MP-A4TF-01A-11D-A25L-08,0.18826727544144478,0.20749338231457753,0.00028727491828314957,0.3797957188054461,0.0727173498684058,0.10445813574254251,0.0002872339755094942,0.04669362893379069
TCGA-69-7760-01A-11D-2167-08,0.0017394932202607516,0.0017393271889315476,0.0017403178910747402,0.0017393892780211777,0.001739404541366027,0.7301643452168163,0.0017393604185918677,0.2593983622449376
TCGA-78-7161-01A-11D-2036-08,0.0006292492378290421,0.0006292898170261211,0.0006292989983367027,0.267995228263948,0.240813669163509,0.1375885227907035,0.051213630033341465,0.3005011116953062
TCGA-NJ-A55O-01A-11D-A25L-08,0.0008461448542805315,0.994076653665146,0.0008463422964063591,0.000846399141049895,0.0008460842116732483,0.0008460504002912934,0.0008462171832950155,0.0008461082478577668
TCGA-MP-A5C7-01A-11D-A25L-08,0.001647724566529004,0.001647944044183937,0.0016477783384757118,0.0016478047132780372,0.0016479313358285371,0.5816344025013723,0.001647520934322217,0.40847889356601014
TCGA-MP-A4TJ-01A-51D-A25L-08,0.1718585803984444,0.24563447638586614,0.0012520439276405885,0.09144444352793618,0.0012523865541367164,0.4860534578736562,0.0012522265234160565,0.001252384808903724
TCGA-64-5778-01A-01D-1625-08,0.12939302209528955,0.3687829589226843,0.0002572068672455197,0.2612909066806613,0.06696150451373341,0.0002571386937558491,0.0002571571027659156,0.17280010512386415
TCGA-MP-A4SY-01A-21D-A24P-08,0.001409065483275473,0.0007976610114288156,0.0007977316977162658,0.0007975782937538196,0.31517697363518776,0.15506953191226516,0.5251538007919521,0.0007976571744206322
TCGA-99-7458-01A-11D-2036-08,0.21896564044534847,0.09655743847321295,0.0002509411285710911,0.35864395935238297,0.16313475023344667,0.0002509782681203888,0.00025096794969016657,0.1619453241492272
TCGA-50-5049-01A-01D-1625-08,0.37760710442510115,0.509758391925548,0.00015787254672157557,0.10611612456347831,0.00588678930213742,0.00015789665698631147,0.00015791230506308738,0.00015790827496424845
TCGA-55-5899-01A-11D-1625-08,0.12267703413271998,0.08907334219625941,0.2560496507886622,0.33431546295613634,0.02244439658923456,0.00026362113170091056,0.0003515747633003827,0.17482491744198628
